term	comparison	estimate	conf.low	conf.high	adj.p.value
supplement_consumed	Arabino-Accessible	2.4272140762462757	-4.780772839262767	9.635200991755317	0.99
supplement_consumed	BRMPS-Accessible	-1.1030149860299736	-5.2174704900473845	3.0114405179874377	1
supplement_consumed	BRMPS+Accessible-Accessible	-0.18784274193548378	-6.510135825459936	6.134450341588969	1
supplement_consumed	HiMaize-Accessible	1.8823655913978312	-3.3776856769906134	7.142416859786276	0.99
supplement_consumed	HiMaize+BRMPS-Accessible	-3.1695391705069165	-8.97421153143328	2.635133190419446	0.82
supplement_consumed	Inulin-Accessible	-1.2478098471986365	-6.21851993505893	3.722900240661657	1
supplement_consumed	LOODAT-Accessible	-3.441592741935482	-9.763885825459933	2.8807003415889705	0.82
supplement_consumed	none-Accessible	-0.20187683284457236	-5.927361834997671	5.523608169308527	1
supplement_consumed	Psyllium-Accessible	-2.165967741935482	-9.63522839791767	5.303292914046706	1
supplement_consumed	Psyllium+BRMPS-Accessible	-3.554813895781627	-10.34122788260325	3.231600091039997	0.86
supplement_consumed	transition_HiMaize-Accessible	-2.737506203473943	-8.199314349415118	2.7243019424672332	0.89
supplement_consumed	BRMPS-Arabino	-3.5302290622762493	-9.98540188548304	2.9249437609305415	0.82
supplement_consumed	BRMPS+Accessible-Arabino	-2.6150568181817597	-10.659427639874995	5.429314003511475	1
supplement_consumed	HiMaize-Arabino	-0.5448484848484445	-7.7842304632360495	6.69453349353916	1
supplement_consumed	HiMaize+BRMPS-Arabino	-5.596753246753192	-13.241014708832495	2.0475082153261104	0.4
supplement_consumed	Inulin-Arabino	-3.6750239234449125	-10.706984593164592	3.356936746274766	0.86
supplement_consumed	LOODAT-Arabino	-5.868806818181758	-13.913177639874993	2.175564003511477	0.41
supplement_consumed	none-Arabino	-2.629090909090848	-10.213396453622162	4.955214635440466	0.99
supplement_consumed	Psyllium-Arabino	-4.593181818181758	-13.567053158352165	4.380689521988648	0.87
supplement_consumed	Psyllium+BRMPS-Arabino	-5.982027972027902	-14.396059519595129	2.4320035755393246	0.45
supplement_consumed	transition_HiMaize-Arabino	-5.1647202797202185	-12.551997200615883	2.222556641175447	0.48
supplement_consumed	BRMPS+Accessible-BRMPS	0.9151722440944898	-4.533274381990703	6.363618870179682	1
supplement_consumed	HiMaize-BRMPS	2.985380577427805	-1.1838303970124255	7.154591551868036	0.44
supplement_consumed	HiMaize+BRMPS-BRMPS	-2.066524184476943	-6.90474720755271	2.7716988385988235	0.96
supplement_consumed	Inulin-BRMPS	-0.14479486116866297	-3.9424440788919193	3.652854356554593	1
supplement_consumed	LOODAT-BRMPS	-2.3385777559055083	-7.787024381990701	3.109868870179684	0.96
supplement_consumed	none-BRMPS	0.9011381531854012	-3.841789140501278	5.64406544687208	1
supplement_consumed	Psyllium-BRMPS	-1.0629527559055085	-7.8086206657808095	5.682715153969793	1
supplement_consumed	Psyllium+BRMPS-BRMPS	-2.4517989097516533	-8.432567723528537	3.5289699040252303	0.97
supplement_consumed	transition_HiMaize-BRMPS	-1.6344912174439692	-6.055523792124613	2.7865413572366746	0.99
supplement_consumed	HiMaize-BRMPS+Accessible	2.0702083333333148	-4.287854727759648	8.428271394426279	1
supplement_consumed	HiMaize+BRMPS-BRMPS+Accessible	-2.981696428571433	-9.7971969795553715	3.8338041224125057	0.95
supplement_consumed	Inulin-BRMPS+Accessible	-1.0599671052631527	-7.180815520337326	5.0608813098110215	1
supplement_consumed	LOODAT-BRMPS+Accessible	-3.2537499999999984	-10.515169721840973	4.007669721840976	0.95
supplement_consumed	none-BRMPS+Accessible	-0.014034090909088581	-6.762219406432071	6.7341512246138935	1
supplement_consumed	Psyllium-BRMPS+Accessible	-1.9781249999999984	-10.257417318173298	6.301167318173301	1
supplement_consumed	Psyllium+BRMPS-BRMPS+Accessible	-3.3669711538461433	-11.035885114980935	4.301942807288648	0.95
supplement_consumed	transition_HiMaize-BRMPS+Accessible	-2.549663461538459	-9.075625058562252	3.976298135485334	0.98
supplement_consumed	HiMaize+BRMPS-HiMaize	-5.051904761904748	-10.895516425298894	0.7917069014893992	0.17
supplement_consumed	Inulin-HiMaize	-3.130175438596468	-8.146302912296651	1.8859520351037142	0.66
supplement_consumed	LOODAT-HiMaize	-5.323958333333313	-11.682021394426275	1.03410472775965	0.2
supplement_consumed	none-HiMaize	-2.0842424242424036	-7.849201623120898	3.6807167746360907	0.99
supplement_consumed	Psyllium-HiMaize	-4.048333333333313	-11.54789537400323	3.451228707336604	0.83
supplement_consumed	Psyllium+BRMPS-HiMaize	-5.437179487179458	-12.256929545310758	1.3825705709518408	0.27
supplement_consumed	transition_HiMaize-HiMaize	-4.619871794871774	-10.123045813374466	0.8833022236309187	0.2
